company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
DA AN GENE OF SUN YAT-SEN UNIVERSITY,3530.0,4109.0,6640.0,682.0,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Healthcare
SICHUAN HEBANG BIOTECHNOLOGY CORPORATION LIMITED,3526.0,4078.0,,681.0,,,,,Sichuan Hebang Biotechnology Corporation Limited,11.453000717379998,11.3074540373,14.63727969473,19.76321827044,11.45947352006,11.40419860979,14.313529234979999,19.526833942950002,3.03106123269,3.43256330054,3.28507595702,4.33940891004,5.969100707,5.2607659887,9.86710912421,13.038947986799998,-1.2763782939200001,-0.21037916386000002,-1.7224746463599998,-0.80724233432,0.0597,0.0048,0.3578,,14.48406195007,14.74001733784,17.92235565175,24.10262718048,0.51685376162,0.04094245237,3.02330624816,3.8068088692399997,CNY,,6459.0,,FALSE,Resources&Materials
HANGZHOU OXYGEN PLANT GROUP,3523.0,3437.0,5452.0,679.0,610.0,,,,"Hangzhou Oxygen Plant Group Co.,Ltd.",6.20836278779,6.83224749315,7.85534727761,8.95934586407,6.903946980220001,7.52548755596,9.17503475739,11.772888491629999,5.84098193242,7.603172628649999,8.19192388831,10.27910049975,8.18701239463,10.02076813465,11.87784464899,12.80321077558,-1.15897106186,-0.75942508105,-1.11331090671,-2.7054634702300002,0.66,0.87,1.24,1.25,12.04934472021,14.4354201218,16.04727116592,19.23844636382,0.6353030026200001,0.84317671887,1.1939483251199998,1.21030438511,CNY,,5182.0,,FALSE,Machinery&Manufacture
SHENZHEN SALUBRIS PHARMACEUTICALS,3506.0,3891.0,3981.0,676.0,570.0,681.0,,,"Shenzhen Salubris Pharmaceuticals Co., Ltd.",6.66637266039,5.59166160575,8.04564444525,7.976545839979999,6.6483839716,5.598330004529999,8.03373397667,7.94073414773,1.06692354603,1.32683656637,1.19824056874,1.77857576991,4.47046598059,2.73856229609,3.05839204137,3.4820113780999997,-0.21230614256,-0.84943978302,-0.36964793658,-1.27330825776,0.68,0.06,0.5,0.58,7.73329620642,6.91849817212,9.243885013989999,9.755121609889999,0.71520107672,0.060864986079999996,0.53372657695,0.6369435940599999,CNY,,3454.0,,FALSE,Healthcare
TIBET SUMMIT RESOURCES,3503.0,2993.0,5858.0,674.0,1432.0,,,,"Tibet Summit Resources Co.,Ltd.",2.73977373852,2.04196032949,2.74204515979,,2.73977373852,2.20610332975,2.78716063744,,1.4385974205999998,1.7364208665799998,1.2333886883699998,,2.23429803731,1.13261819985,2.0486291053900003,,-0.43399396108,-0.08742985959,-0.58203565481,,0.6565000000000001,0.0335,0.7881,,4.17837115912,3.7783811960700002,3.97543384816,,0.60015215936,0.03058429674,0.7204454962100001,,CNY,,2007.0,,FALSE,Resources&Materials
GUANGZHOU BAIYUN INTERNATIONAL AIRPORT,3493.0,4536.0,2673.0,673.0,508.0,379.0,,,Guangzhou Baiyun International Airport Company Limited,16.4685163979,19.46336930963,18.60097364119,17.40860189919,16.88877455715,19.26123853043,18.31327440202,17.19050349042,8.53853709018,6.83491648605,8.944058011549998,9.53218636895,7.86994225064,5.22463813932,5.18023834082,3.97095986212,-1.05862347639,-1.15400088166,-1.22758667581,-0.80835059949,0.52,-0.12,-0.17,-0.45,25.00705348808,26.298285795680002,27.54503165274,26.94078826814,0.99986149993,-0.25025274145,-0.4058466604,-1.07120461173,CNY,,10168.0,,FALSE,Logistics&Transportation
LUXI CHEMICAL GROUP,3505.0,3029.0,4804.0,675.0,894.0,859.0,,,"Luxi Chemical Group Co., Ltd.",11.31651738094,14.38598115016,18.07011058066,17.4553021118,14.17473296643,16.34950454945,21.72629516292,21.048784141389998,18.89381057209,17.48803667128,14.04542305252,16.95211834487,18.081576304,17.59245457301,31.794339242419998,30.3566985943,-3.17704830883,-2.58942249769,-3.67209853204,-4.34951809558,1.17,0.5630000000000001,2.425,1.641,30.21032795303,31.87401782144,32.11553363318,34.407420456669996,1.69161640613,0.82483277512,4.6186691702200005,3.15541882157,CNY,,12373.0,,FALSE,Resources&Materials
GRG BANKING EQUIPMENT,3492.0,4120.0,3719.0,672.0,660.0,598.0,,,"GRG Banking Equipment Co., Ltd.",9.911567356139999,10.94528839953,12.00299696894,13.4289768699,9.05292708591,9.95716154324,10.97777874704,11.9118706766,4.27564205552,4.764394274390001,5.030375360390001,6.75521118108,6.49626509684,6.41076503361,6.78183507011,7.52645953075,-0.26669896716,0.89270060548,-1.6797588434200001,-1.4191109057,0.31,0.29,0.33,,14.18720941166,15.70968267392,17.03337232933,20.184188050979998,0.75797568212,0.70042001676,0.8242566928099999,0.8273277389,CNY,,28270.0,,FALSE,Technology&Electronics
YOUNGY,3486.0,2677.0,8008.0,671.0,1335.0,,,,"YOUNGY Co.,Ltd.",0.5912829995900001,0.61400193794,0.70987605221,3.21140752194,0.54675420426,0.61659122416,0.65018708211,3.0905126838699997,0.21901731325999999,0.40299006991,0.6374145865299999,0.6490516129299999,0.26979729326999996,0.38993498844,0.92059759728,2.99239628089,0.01196954117,-0.06545295336,-0.08072576993000001,-0.57904294656,-1.256,0.081,0.263,9.3968,0.81030031285,1.01699200785,1.34729063874,3.8604591348699997,-0.32613239572,0.02104484641,0.06828942454999999,2.43993932664,CNY,,1008.0,,FALSE,Resources&Materials
HUOLINHE OPENCUT COAL INDUSTRY CORPORATION OF INNER MONGOLIA,3631.0,4342.0,4659.0,711.0,806.0,822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7507.0,,FALSE,Resources&Materials
HENGDIAN GROUP DMEGC MAGNETICS,3587.0,4374.0,5214.0,701.0,679.0,957.0,,,"Hengdian Group DMEGC Magnetics Co. ,Ltd",5.3420500982700005,6.04022059345,6.76852429864,7.7714020585600005,5.34200854419,6.03215212097,6.7475216520900005,7.75013077812,3.1574505234699997,4.19989979058,6.40884669672,9.83849078325,6.56363822595,8.105787993909999,12.607410411090001,19.45063816191,-0.33324418963,-1.19004678653,-1.1677026867,-0.90822092662,0.42,0.6231,0.6900000000000001,1.03,8.49950062174,10.24012038403,13.17737099536,17.60989284181,0.6910643773099999,1.01356994496,1.12044428434,1.66926549769,CNY,,16121.0,,FALSE,Technology&Electronics
G-BITS NETWORK TECHNOLOGY (XIAMEN),3435.0,3838.0,3860.0,660.0,548.0,625.0,,,"G-bits Network Technology (Xiamen) Co., Ltd.",3.4351134698899997,4.2476937583600005,5.05961922791,4.7095009995299995,3.10629635531,3.8099126474699996,4.5801375035500005,3.9787345660300004,0.93369917647,1.13997195244,2.04365629431,1.78091929925,2.1703719240900003,2.7422924028,4.6190460808000005,5.16761548817,-0.15996685891,0.40912342503,-0.468172809,0.18613326776,11.28,14.58,20.43,20.33,4.368812646359999,5.3876657108,7.103275522220001,6.49042029878,0.80919013925,1.04640605064,1.46849809221,1.46087445968,CNY,,1254.0,,FALSE,Communication&Entertainment
RIYUE HEAVY INDUSTRY COLTD,3525.0,3939.0,5806.0,680.0,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485.0,,FALSE,Machinery&Manufacture
BTG HOTELS (GROUP),3478.0,4385.0,4165.0,670.0,810.0,722.0,,,"BTG Hotels (Group) Co., Ltd.",9.29682798799,8.635412267360001,11.32156271773,10.61007803825,10.74014227584,9.40800220519,11.498750771940001,10.49777080878,7.81316962251,7.99716232396,15.68429552329,14.83810956291,8.31110350452,5.28188048531,6.1530866284300005,5.089377392569999,-0.2643792433,-0.68158821496,-0.45448104004,-1.962294301,0.9031,-0.5074000000000001,0.056,,17.1099976105,16.63257459132,27.00585824102,25.44818760116,0.8849734632699999,-0.49600529038999996,0.05567690232,-0.58216987266,CNY,,12543.0,,FALSE,Services&Travel
CHONGQING WATER GROUP,3370.0,4004.0,3329.0,647.0,687.0,514.0,,,"Chongqing Water Group Co.,Ltd.",15.171145984979999,15.59096221295,16.50372758147,17.16924056655,16.05684260843,18.70761554077,21.41786698988,23.33736391409,6.5417023397,8.9433301294,12.74106170614,14.788279773780001,5.63854942706,6.34959984462,7.25225408848,7.7788718690100005,-2.27924002892,-2.2991467213,-3.56338663861,-2.69033639127,0.35,0.37,0.43,0.4,21.71284832468,24.53429234235,29.24478928761,31.957520340330003,1.6651048843,1.7737301618299999,2.07755412267,1.90908567079,CNY,,6504.0,,FALSE,Resources&Materials
YADEA GROUP HOLDINGS,3365.0,3505.0,8816.0,646.0,450.0,,,,Yadea Group Holdings Ltd.,3.14383,3.602843,4.512399,6.642594,3.132386,3.589499,4.898586,7.142559,7.602503,12.413512,14.895394,18.310092,11.968238,19.360315,26.967532,31.059443,-1.98786,-1.03599,-0.824321,-2.055994,0.171,0.334,0.478,,10.746333,16.016355,19.407793,24.952686,0.516411,0.957389,1.369495,2.161094,CNY,,11825.0,,FALSE,Transport&Aerospace
TANGSHAN JIDONG CEMENT,3375.0,5244.0,3769.0,649.0,884.0,612.0,,,"Tangshan Jidong Cement Co.,Ltd.",28.83796487563,32.1493706671,33.77874937866,32.6029136019,21.21743139557,27.93680429695,42.66949894492,44.730967253980005,31.895530839430002,26.79792870307,26.551686874740003,29.41600643291,34.50703196478,35.479631343470004,36.33756864417,34.54364414626,-3.2674991376399998,-2.1047659421700002,-1.8756511336400001,-2.44545193615,1.853,1.964,1.769,0.513,60.733495715059995,58.94729937017,60.3304362534,62.018920034809994,2.70058782251,2.8500108495100003,2.81020968115,1.3576893889100001,CNY,,22385.0,,FALSE,Resources&Materials
BANK OF GUIZHOU,3373.0,3485.0,2975.0,648.0,500.0,437.0,,,"Bank of Guizhou Co., Ltd.",33.889242,36.027822,38.98783,43.970522,118.011974,91.864204,111.38211,128.761101,375.499558,420.373377,464.892336,489.810809,9.846566,10.220517,11.643463,11.471986,-11.269135,-28.57086,6.832545,-1.04407,0.29,0.25,0.25,,409.3888,456.401199,503.880166,533.781331,3.563637,3.670663,3.705705,3.829455,CNY,,5418.0,,FALSE,Finance&Investments
TITAN WIND ENERGY (SUZHOU),3360.0,4689.0,5799.0,645.0,1038.0,,,,"Titan Wind Energy (Suzhou) Co.,Ltd",5.94793110183,6.889788119029999,7.8500118915299995,,7.62694262316,8.88357404287,9.93608026793,,7.11825485528,7.858475969140001,7.85032387328,,6.05844554129,8.09986309364,8.17217499076,,-0.91607001052,-0.90980493369,-0.44211394996,,0.42,0.6000000000000001,0.73,,13.066185957110001,14.74826408817,15.70033576481,,0.74650255703,1.04960978825,1.3095068343599998,,CNY,,2483.0,,FALSE,Machinery&Manufacture
JIANGXI SPECIAL ELECTRIC MOTOR,3353.0,2804.0,7986.0,644.0,2012.0,,,,"Jiangxi Special Electric Motor Co.,Ltd",1.6737558521199998,1.60386917224,1.9870944861700002,4.301171311649999,1.55468142452,1.56954007752,2.09749169837,4.26520731741,3.94691375614,3.21455027843,3.4426076476999996,2.92809441298,2.6888624451,1.84398480801,2.98227722455,6.57190182998,0.19836943484,0.1633019618,-0.12439859415,-0.50397126796,-1.19,0.01,0.23,1.36,5.62066960826,4.81841945067,5.42970213387,7.22926572463,-1.90607374096,0.01432646443,0.38576980283,2.3263782605900003,CNY,,3364.0,,FALSE,Technology&Electronics
XIAMEN TUNGSTEN,3350.0,2949.0,4354.0,641.0,714.0,757.0,,,"Xiamen Tungsten Co.,Ltd.",9.775590310790001,9.92638647366,12.72827604843,16.060034836059998,9.71345338777,9.68570427632,13.083414475129999,17.56144699123,13.695586401049999,15.17748873937,19.69261691157,23.738735226240003,17.3955157597,18.9637480938,31.85219574028,48.22278704491001,-2.0793730206600003,-1.29570771267,-1.4753071131600002,-1.94550038357,0.1847,0.4368,0.8384,1.0285,23.471176711840002,25.103875213029998,32.42089296,39.7987700623,0.26068278278,0.61410625516,1.1805341083699998,1.44618667024,CNY,,15912.0,,FALSE,Resources&Materials
CNOOC ENERGY TECHNOLOGY & SERVICES,3424.0,3932.0,3051.0,659.0,695.0,452.0,,,CNOOC Energy Technology & Services Limited,18.992715663040002,20.174327296669997,21.01723008542,23.03938185378,18.74058194636,19.82606976649,20.66904817252,23.488726384009997,10.708285726389999,12.401711072129999,14.656774073780001,17.631490126110002,33.46329256899,33.20827983646,38.73930260921,47.784486538050004,-1.5761739436300002,-1.4048171025,-1.5034584522899999,-3.10935421069,0.1336,0.15,0.13,,29.70100138943,32.5760383688,35.674004159199995,40.67087197989,1.23305127573,1.52159034675,1.28350708383,2.4162335722600004,CNY,,14627.0,,FALSE,Resources&Materials
"SHANGHAI ZHONGGU LOGISTICS CO., LTD.",3423.0,3631.0,,658.0,,,,,"Shanghai Zhonggu Logistics Co., Ltd.",2.97202796874,5.20226422641,9.734477340889999,9.336082529059999,3.8264205963,6.52258719619,11.19438791043,12.023397879120001,5.3400945866,6.35862971067,7.58705282841,10.79433954947,9.900313062,10.419184227030001,12.29118186775,14.20891647566,-0.45997083445,-2.20052958669,-5.80432292201,-0.45802647753,0.743243,0.844595,1.83,1.93,8.31212255534,11.56089393708,17.3215301693,20.13042207853,0.85758615102,1.01878294589,2.4042917360300002,2.74138574405,CNY,,1455.0,,FALSE,Logistics&Transportation
WUCHAN ZHONGDA GROUP,3351.0,3592.0,3343.0,642.0,779.0,517.0,,,"Wuchan Zhongda Group Co.,Ltd.",30.65455503639,33.901730968580004,39.29970687301,45.98123086025,32.77863292136,33.84486736179,34.547558825989995,43.22078514164,62.67748168625,72.75087158827999,90.14997873085001,99.06965020027,358.92248722606,403.96634985747,562.5378959455,576.5486823891999,-1.18781248671,-0.43408178436,-6.51338728292,-0.46576568008999997,0.54,0.52,0.76,0.74,93.33203672264,106.65260255686,129.44968560386,145.05088106052,2.73385681179,2.74572131368,3.98498596443,3.91112924916,CNY,,20322.0,,FALSE,Resources&Materials
BEIJING KUNLUN TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Communication&Entertainment
JONJEE HI-TECH INDUSTRIAL & COMMERCIAL HOLDING,3399.0,4322.0,2995.0,655.0,320.0,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120.0,,FALSE,Estate
CECEP WIND-POWER CORPORATION,3384.0,4434.0,6259.0,651.0,946.0,,,,"CECEP Wind-power Corporation Co.,Ltd.",8.08591209017,10.564463311370002,11.38184050717,16.582272016370002,19.3669829461,27.33839766813,31.83035893654,35.662884146230006,15.423796173540001,22.51983691804,28.034233588400003,27.18818922614,2.4873706544200003,2.66721325132,3.53890253189,5.24019287632,-2.40374362848,-7.6605570301000006,-6.19325500381,-4.94790806174,0.1252079999999999,0.123432,0.235,0.319,23.50970826371,33.08430022941,39.416074095569996,43.77046124251,0.5841070648400001,0.61788339303,0.76753780867,1.63022682382,CNY,,1113.0,,FALSE,Resources&Materials
CHACHA FOOD COMPANY,3554.0,5086.0,4598.0,690.0,624.0,804.0,,,"Chacha Food Company, Limited",3.6549948837199997,4.2078847030799995,4.79613802282,5.27149922049,3.65429181896,5.43551872707,6.06043663525,6.56973533051,1.75370963657,2.7710998940300002,3.2760838898499998,3.27580858134,4.837252294430001,5.28930404987,5.9850260321599995,6.88336520754,-0.15262309640000002,-0.17816278175,-0.59618515375,0.31345433666,1.216,1.597,1.839,,5.40870452029,6.978984597109999,8.07222191267,8.54730780183,0.60352554022,0.80511481774,0.92866065726,0.9759995596100001,CNY,,5236.0,,FALSE,Food&Restaurants
JIANGSU CNANO TECHNOLOGY,3380.0,3243.0,7371.0,650.0,1070.0,,,,"Jiangsu Cnano Technology Co., Ltd.",1.5947038096300001,1.68116057852,2.00235038369,2.52856561069,1.61761080294,1.68475254754,1.98300519929,3.35819682654,0.14775748628,0.19978455021,0.5879230937000001,1.53416862747,0.38642998287,0.47194641945,1.31995653127,1.84152763477,-0.8103462194600001,-0.04448125182,-0.02875547123,-0.5441171471799999,0.58,0.46,1.28,1.83,1.74246129591,1.88094512873,2.59027347739,4.06273423816,0.11008822157999999,0.1072522342,0.29588321886,0.42420031044,CNY,,791.0,,FALSE,Technology&Electronics
SHANGHAI ORIENTAL PEARL GROUP,3156.0,4007.0,2790.0,589.0,550.0,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232.0,,FALSE,Communication&Entertainment
"CHINA SOUTHERN POWER GRID ENERGY EFFICIENCY&CLEAN ENERGY CO.,LTD.",3396.0,3744.0,,654.0,,,,,"China Southern Power Grid Energy Efficiency & Clean Energy Co.,Ltd.",4.49016498959,4.842434455659999,6.40241750258,7.05164967247,5.64313617061,6.84221171723,9.42093670923,10.368284768030001,4.3920953306,6.19220889207,7.14025145158,8.3153864716,1.50840008952,2.0088526997000002,2.60010315225,2.88810635555,-1.33574131772,-2.05910508504,-2.10125883502,-2.32075177688,0.09,0.13,0.13,0.15,8.882260320190001,11.03464334773,13.54266895416,15.36703614407,0.27623084854,0.39857583108,0.4739247094,0.55345047798,CNY,,538.0,,FALSE,Resources&Materials
MEINIAN ONEHEALTH HEALTHCARE HOLDINGS,3352.0,3851.0,1821.0,643.0,393.0,240.0,,,"Meinian Onehealth Healthcare Holdings Co., Ltd.",8.15402165133,8.69241971783,8.75946372898,8.1967734314,9.86616981987,9.41400751318,8.69976243454,7.47280575057,10.764598824879998,9.64382402585,10.09909181918,10.08311960489,8.52502606338,7.814896549819999,9.1555669675,8.53284822098,-1.44038747623,-0.3225337979,0.23991255595,-0.23188109933,-0.23,0.14,0.02,,18.91862047621,18.33624374368,18.85855554816,18.27989303629,-0.86647416582,0.55395164405,0.06413601405,-0.53313723032,CNY,,,,FALSE,Healthcare
BLUESTAR ADISSEO COMPANY,3155.0,3651.0,3064.0,588.0,544.0,456.0,,,Bluestar Adisseo Company,17.214526391,15.432492621,15.425769305,14.95283436,13.823332314,14.014581534,14.109971551,15.77718497,3.912731699,5.185140454,5.480122831,6.390567553,11.135489839,11.910430976,12.868681379,14.529015609,-1.160396155,-2.300841296,-2.442785182,-1.800535535,0.37,0.5,0.55,,21.12725809,20.617633075,20.905892136,21.343401913,0.992382202,1.351600222,1.471648465,1.246679835,CNY,,2656.0,,FALSE,Resources&Materials
FIRST CAPITAL SECURITIES,3410.0,3942.0,3135.0,656.0,416.0,475.0,,,"First Capital Securities Co., Ltd.",9.51423136542,14.435437374,14.98915012654,,16.62233534241,20.44307089423,21.22384418732,,26.05979611094,26.200993987009998,28.15807835098,,2.44529145051,2.91819817275,3.00034047752,,0.07748429888,-0.6423823895,-0.50246227543,,0.15,0.21,0.18,,35.57402747636,40.636431361010004,43.147228477519995,,0.5130580688899999,0.81268797206,0.74531012095,,CNY,,3481.0,,FALSE,Finance&Investments
WUHU TOKEN SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Resources&Materials
ZIBO QIXIANG TENGDA CHEMICAL CO. LTD,3392.0,4119.0,5480.0,652.0,1047.0,,,,"Zibo Qixiang Tengda Chemical Co., Ltd",8.19613265429,9.78504101443,13.42032409508,,8.05537276657,11.89133416604,15.74077543606,,5.93468440889,10.853860320899999,12.65018718428,,30.057692948619998,24.685919355099998,34.892072752809995,,-1.2715229666099999,-3.2302184504600002,-5.122502353100001,,0.25,0.4,0.86,,14.13081706318,20.63890133533,26.07051127936,,0.62049526766,0.9757155724500001,2.3926366856300003,,CNY,,3255.0,,FALSE,Resources&Materials
HANGZHOU GREAT STAR INDUSTRIAL,3153.0,3140.0,5750.0,587.0,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6435.0,,FALSE,Services&Travel
SHANGHAI ELECTRIC POWER COMPANY,3272.0,5104.0,3973.0,623.0,899.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Resources&Materials
JIANGXI ZHENGBANG TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Healthcare
WESTERN MINING,3261.0,3120.0,4726.0,621.0,578.0,840.0,,,Great Western Mining Corporation PLC,0.006234087,0.007919625,0.008945631,,0.006234087,0.007919625,0.008945631,,0.000350434,0.000433003,0.00036628,,0.0,0.0,0.0,,-0.000205541,-0.000196754,-0.000657509,,-0.001,-0.0004619999999999,-0.001,,0.006584521,0.008352628,0.009311911,,-0.000815795,-0.000852042,-0.00053596,,EUR,,8.0,,FALSE,Resources&Materials
BETTA PHARMACEUTICALS,3256.0,3635.0,3367.0,619.0,392.0,523.0,,,"Betta Pharmaceuticals Co., Ltd.",2.46921510341,4.14419497273,4.6857896961000005,4.9577018289499994,2.7405397651300003,4.14078111043,4.560887934569999,5.5050912922299995,1.6641187184200001,1.08534263436,1.58564238084,2.95244510286,1.55392425501,1.87026631497,2.2458555914600002,2.37662965736,-0.66887900297,-0.11820693932,-0.9821271254299999,-1.32434234322,0.58,1.5,0.92,0.35,4.13333382183,5.22953760709,6.271432076939999,7.910146931810001,0.23082162091,0.60636058851,0.38306784044,0.14542031909,CNY,0.0,1961.0,,FALSE,Healthcare
BANK OF CHANGSHA,3248.0,3326.0,2988.0,617.0,526.0,441.0,,,"Bank of Changsha Co., Ltd.",41.833226,45.72251,56.645959,,173.788223,187.208094,217.348805,,560.16451,658.512218,739.504359,,17.019008,18.023828,20.484226,,10.180483,-20.590455,-16.763028,,1.48,1.47,1.55,,601.997736,704.234728,796.150318,,5.080248,5.338401,6.304376,,CNY,,7978.0,,FALSE,Finance&Investments
TIANMA MICROELECTRONICS,3245.0,3362.0,2781.0,616.0,472.0,394.0,,,"Tianma Microelectronics Co., Ltd.",26.7072244852,33.568338364220004,34.8726167332,30.26237037393,42.11070964081,55.077325589839994,57.13579132678,57.2725949533,38.743783948339996,39.98946602494,45.559718944059995,50.72698313686,30.28197006828,29.232745052029998,31.8292137904,31.447476894799998,-9.29506059147,-10.38724095684,-7.980848340310001,-3.4667932475,0.4049,0.6749,-0.014,,65.45100843354,73.55780438916,80.43233567726,80.98935351079,0.82936499537,1.47452145009,1.54245710105,0.11252117181,CNY,,25782.0,,FALSE,Technology&Electronics
MINTH GROUP,3250.0,3622.0,3021.0,618.0,437.0,447.0,,,Minth Group Limited,14.743694,15.312895,16.555656,17.698119,14.324945,16.017915,18.278112,17.923548,8.898981,11.89285,13.089188,15.575679,13.198189,12.466858,13.919269,17.306393,-1.165786,-3.411777,-1.949679,-3.036938,1.472,1.213,1.299,,23.642675,27.205745,29.644844,33.273798,1.6903,1.395509,1.496507,1.500584,CNY,,21331.0,,FALSE,Transport&Aerospace
RAYTRON TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Technology&Electronics
FUJIAN TORCH ELECTRON TECHNOLOGY,3343.0,3358.0,6159.0,640.0,523.0,,,,"Fujian Torch Electron Technology Co., Ltd.",3.18092434507,4.02355546085,4.82169535092,5.4653823590699995,3.25343966506,4.32528774068,5.15569411409,6.00645113299,1.23568290501,1.9103790073,2.1187294523299998,2.07622487917,2.5693934127199998,3.65624681616,4.73415980905,3.55871510304,0.0680340814,-0.33152820508999997,-0.62796050616,-0.80874004775,0.84,1.35,2.08,,4.41660725008,5.9339344681499995,6.94042480325,7.54160723824,0.38143843294999996,0.60949231064,0.9558548692100001,0.80145285459,CNY,,2275.0,,FALSE,Technology&Electronics
SHENGHE RESOURCES HOLDING CO. LTD,3236.0,2728.0,4767.0,614.0,1010.0,852.0,,,"Shenghe Resources Holding Co., Ltd",5.47894146875,8.009204780020001,9.9953639488,,5.4270907268299995,7.77635335118,9.96734439592,,3.97055051014,4.097134688760001,5.152442736899999,,6.95951848842,8.15725159528,10.61634914776,,-0.15862247493,-0.21231427881,-0.43948716248,,0.0579,0.1845,0.6139,,9.44949197889,12.10633946878,15.1478066857,,0.10153171979,0.32331279472,1.0760484398099999,,CNY,,1631.0,,FALSE,Resources&Materials
SHANGHAI CONSTRUCTION GROUP,3232.0,4296.0,2933.0,612.0,635.0,427.0,,,"Shanghai Construction Group Co., Ltd.",36.17304460563,43.89849289481,51.56705549886,51.080052701190006,77.34049240124,90.14717989532001,96.94159745538,103.22903566053,221.10785190347,277.45824065628005,302.19883626287,315.72356639205,205.49670780835,231.32723200889,281.05546802464,286.03661465988,-3.00830741356,-8.176045934100001,-1.8119873026500002,-1.5216362073699998,0.41,0.34,0.36,0.1,257.2808965091,321.35673355109003,353.76589176172996,366.80361909324,3.93020737811,3.3508492676999997,3.7687719494,1.35568496402,CNY,,42762.0,,FALSE,Services&Travel
GUANGZHOU YUEXIU FINANCIAL HOLDINGS GROUP,3234.0,3519.0,3350.0,613.0,435.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,FALSE,Finance&Investments
CHINA MERCHANTS ENERGY SHIPPING,3144.0,3331.0,2138.0,584.0,454.0,282.0,,,"China Merchants Energy Shipping Co., Ltd.",25.74879077839,26.004136455060003,26.88335274651,33.50002006454,43.18300743348,48.0214450858,44.49750388307,55.277065182010006,29.06885289675,32.63053268638,33.25218286404,31.96993430547,14.55641304837,18.07293262213,24.412230326400003,29.708405329450002,-3.76166067276,-7.630409397689999,0.38529150292000003,-1.82148597215,0.266667,0.45,0.48,,54.81764367514,58.63466914144,60.13553561055,65.46995437001,1.61297536152,2.77748942293,3.60906903918,5.0858873319499995,CNY,,4577.0,,FALSE,Logistics&Transportation
SHENZHEN KEDALI INDUSTRY,3228.0,4082.0,6516.0,611.0,783.0,,,,"Shenzhen Kedali Industry Co., Ltd.",2.56806375806,4.07105621922,4.6409567354,5.82764229027,2.49063023562,4.03603599751,4.63497359967,7.28686872097,1.2057362956700002,1.40095253467,2.68552887807,8.346588835270001,2.22991217606,1.98506689604,4.4675804361,8.65350000627,-0.45721754755,-0.92976678119,-0.93748182105,-2.0531439553,1.13,0.84,2.33,,3.77380005373,5.47200875389,7.32648561347,14.17423112554,0.23731062581,0.17863875784,0.5416117434500001,0.9011831515900001,CNY,,9420.0,,FALSE,Technology&Electronics
KINGFA SCI. & TECH,3151.0,2860.0,4238.0,586.0,398.0,733.0,,,Kingfa Science & Technology (India) Limited,,3.485895,3.539753,3.845874,,3.667491,3.783503,4.014624,,2.477104,3.17061,4.920937,,7.415003,6.272354,10.47713,,-0.629219,-0.139156,-0.181311,,20.33,4.39,25.29,,5.962999,6.710363,8.766811,,0.246165,0.053218,0.306334,INR,,221.0,,FALSE,Resources&Materials
ANHUI JIANGHUAI AUTOMOBILE GROUP,3147.0,3666.0,6451.0,585.0,737.0,,,,"Anhui Jianghuai Automobile Group Corp.,Ltd.",13.70436440624,13.91373885935,15.867270554940001,,15.93805375231,17.910996341759997,21.933958980369997,,30.15015154826,28.20375186518,30.50283137984,,47.362153340220004,42.90597099545,40.310521723629996,,1.6860566755,1.09240117911,-1.03190126339,,0.06,0.08,0.1,,43.8545159545,42.11749072453,46.370101934779996,,0.10601496754999999,0.14261388999000002,0.19999935378,,CNY,,,,FALSE,Transport&Aerospace
