company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees_x,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,num_employees_y,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
GUANGHUI ENERGY,2567,2909,3750,"['Energy', 'Oil and Gas']",424,879,607,,1994,,"Guanghui Energy Co., Ltd.",16618483824.61,17242758994.08,20780058551.73,28610923452.88,26237614469.67,27817963872.62,30730823943.38,36334282556.41,32123052046.72,36877719472.49,38928597574.12,32964513716.34,14041598393.98,15133627913.31,24864951200.34,59408725478.43,-3151742866.38,-3255394673.85,-3206750724.41,-382527220.07,0.2353,0.19940000000000002,0.7688,1.7268,48741535871.33,54120478466.57,59708656125.85,61575437169.22,1596834881.04,1336313125.78,5003112468.52,11337656385.39,CNY,6182,,,,,,
HUIZHOU DESAY SV AUTOMOTIVE,1660,2521,4638,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Electronics']",255,374,818,4506,1986,,"Huizhou Desay SV Automotive Co., Ltd.",4218390425.61,4642981252.82,5416452433.67,6542766817.52,4218434595.3,4640491270.95,5338646162.07,7051032167.99,2129605669.75,2907004435.04,4735103119.07,7213333767.67,5337242510.09,6799061282.86,9569434480.19,14932905788.5,-230062734.15,-67389241.91,-772732385.62,-1046048150.21,0.53,0.9400000000000001,1.51,,6347996095.36,7549985687.86,10151555552.74,13756100585.19,292146872.91,518149882.96,832922008.36,1183845528.12,CNY,7854,,,,,,
XCMG CONSTRUCTION MACHINERY,2339,2230,2239,"['Industries', 'Construction Equipment', 'Heavy Machinery', 'Machinery Manufacturing', 'Heavy Vehicles']",379,414,300,,2021,,"XCMG Construction Machinery Co., Ltd.",33646188272.0,34170655818.69,37169165194.98,,38931271120.53,39358855837.81,45329003664.99,,43645468816.78,57626520903.21,72859941934.8,,59175998918.25,73968148563.43,84327579230.19,,-2836856446.69,-1018931220.1,-8124585629.7,,0.432,0.4505,0.7052,,77291657088.78,91797176721.9,110029107129.78,,3620572465.02,3728859646.1,5614606145.93,,CNY,,,,,,,
SHENZHEN TRANSSION HOLDINGS,1074,1185,2558,"['Technology', 'Communications Equipment']",148,144,358,,2006,,"Shenzhen Transsion Holdings Co., Ltd.",8264710496.1,10509310587.4,14060692468.77,,8347903975.92,10492106354.53,14022648381.45,,9479042918.23,15481198399.29,17398565026.44,,25345929613.02,37791888885.74,49411901654.03,,-2872988099.82,817534123.14,-5840353614.03,,2.42,3.36,4.88,,17743753414.33,25990508986.69,31459257495.21,,1793303139.99,2686425710.81,3909229343.57,,CNY,16232,,,,,,
YUNNAN BOTANEE BIO-TECHNOLOGY GROUP CO.LTD,1675,1579,,"['Healthcare', 'Biotechnology', 'Personal Care Products', 'FMCG']",258,,,,2010,,Yunnan Botanee Bio-Technology Group Co.LTD,761018600.31,1201817344.34,4778466575.26,5601775656.17,756296569.84,1199004473.8,4755204197.34,5552272818.71,322818832.78,400051900.6,1034024642.51,1116941237.73,1943745540.84,2636488348.17,4022403431.75,5013873729.44,-60859005.34,-86320188.81,-2558476992.06,-18485430.48,1.1400000000000001,1.51,2.12,2.48,1083837433.09,1601869244.94,5812491217.77,6718716893.9,411945198.0,543507903.96,862922946.61,1051228828.98,CNY,,,,,,,
BEIJING TONGRENTANG CO. LTD,1753,2670,2565,"['Healthcare', 'Pharmaceutical']",271,521,362,6152,1997,,"Beijing Tongrentang Co., Ltd",14660220878.37,15546403489.44,16672501298.25,18454068313.03,10465644433.88,10314796205.31,11378598507.4,13029072895.45,6261601202.83,6291108872.8,8400334064.06,8590423576.47,13277123199.46,12825879050.96,14603100739.78,15372423363.17,-317350122.72,-960858202.32,-341914232.89,-211393579.65,0.719,0.752,0.895,,20921822081.2,21837512362.24,25072835362.31,27044491889.5,985435905.02,1031440914.95,1227372820.22,1425811705.31,CNY,18065,,,,,,
DONGFANG ELECTRIC CORPORATION,1974,2611,3168,"['Industries', 'Industry Machinery', 'Power Equipment']",308,585,478,17336,1984,,Dongfang Electric Corporation Limited,31798432970.59,33641600037.07,35383877225.37,38624871527.16,30081665072.63,31627019067.26,34062753948.37,35932589784.26,57820532585.13,64153537732.09,67720696078.96,76640188940.23,32840321080.22,37282871287.38,47819166940.47,55353140128.96,1370233737.29,-680279207.0,-3052869630.9,-13186238590.76,0.41000000000000003,0.6000000000000001,0.73,0.92,89618965555.72,97795137769.16,103104573304.33,115265060467.39,1277671818.13,1861998155.29,2289036817.45,2854650575.05,CNY,17463,,,,,,
XPENG MOTORS,508,571,1677,"['Automobile', 'Electric Vehicles', 'Passenger Vehicles']",57,83,211,3676,2014,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANGHAI PHARMACEUTICALS HOLDING CO. LTD,2269,2504,2067,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",364,361,267,,1994,,"Shanghai Pharmaceuticals Holding Co., Ltd",49385928293.4,54740729769.65,59066210137.1,78002451057.43,50793276240.95,46538755999.93,56517231614.84,73322805259.55,87640467566.32,94444925708.98,104369299024.61,120132450441.52,186565796464.05,191909156160.88,215824259035.31,231981299764.51,-4584277541.25,-1705676409.44,-6015575888.57,-12473124179.46,1.44,1.58,1.79,1.6099999999999999,137026395859.72,149185655478.63,163435509161.71,198134901498.95,4080993663.5,4496216958.55,5093467260.97,5617152003.01,CNY,47877,,,,,,
CHONGQING BREWERY,1885,1928,3548,"['Consumer Defensive', 'Alcoholic Beverages', 'Beer', 'Beverages']",291,298,561,,,,"Chongqing Brewery Co., Ltd.",1511351330.3,1568836503.85,3128295239.8,3623022779.13,1418716909.77,950289188.94,1754545104.23,2056155782.63,2003002193.76,8026536569.77,8404513904.4,8874519389.7,3581923735.04,10941631163.32,13119310688.3,14039040539.45,-22429422.79,-2804885086.86,-1151748524.33,-388086486.41,2.15,2.23,2.41,2.61,3514353524.06,9595373073.62,11532809144.2,12497542168.83,656927318.18,1076838516.18,1166243415.91,1263604930.09,CNY,,,,,,,
CHINA OILFIELD SERVICES,2107,2344,1381,"['Energy', 'Oil and Gas', 'Oil Field Services', 'Oil and Gas Equipment and Services']",334,362,166,,2001,,China Oilfield Services Limited,36910277224.0,38688807570.0,38216329797.0,39898084045.0,54863719090.0,58156753295.0,50193532131.0,53718413237.0,39191560947.0,37253499422.0,35095377923.0,37286006539.0,31135149996.0,28959198513.0,29203002067.0,35658895687.0,-1154480113.0,-3343493365.0,-4733292211.0,-3733638393.0,0.5244,0.5665,0.0656,,76101838171.0,75942306992.0,73311707720.0,77184090584.0,2502238023.0,2703186710.0,313175553.0,2352625065.0,CNY,15151,,,,,,
JIANGXI COPPER COMPANY,1978,1895,2036,"['Basic Materials', 'Copper Mining', 'Mining', 'Metals']",309,308,260,24831,1979,,Jiangxi Copper Company Limited,59032602430.0,66859304935.0,77809926686.0,81950157848.0,58503478648.0,74487110265.0,83154888091.0,83275368307.0,75881313004.0,74022247962.0,83224717615.0,85380380689.0,240360335134.0,318563174838.0,442767670161.0,479938045193.0,-11943948968.0,-303157268.0,-3228842582.0,-7718982585.0,0.71,0.67,1.63,,134913915434.0,140881552897.0,161034644301.0,167330538537.0,2466407085.0,2320394755.0,5635567528.0,5993964274.0,CNY,25051,,,,,,
CHINA HONGQIAO GROUP LIMITED,,,,,,,,,,,China Hongqiao Group Limited,66015976000.0,76801670000.0,92438829000.0,96305777000.0,109820843000.0,100483222000.0,112281250000.0,100734891000.0,113588469000.0,104729330000.0,95982093000.0,89436014000.0,84179288000.0,86144641000.0,114490941000.0,131699427000.0,-6262707000.0,-6973978000.0,-5463487000.0,-16772532000.0,0.7087,1.221,1.772,0.9358000000000001,179604445000.0,181531000000.0,188420922000.0,185741791000.0,6095335000.0,10495936000.0,16073342000.0,8701953000.0,CNY,46647,,,,,,
METALLURGICAL CORPORATION OF CHINA,2926,2380,1806,"['Industries', 'Real Estate', 'Mining', 'Metals', 'Construction']",520,708,237,101020,,,Metallurgical Corporation of China Ltd.,116905508000.0,140355307000.0,151387759000.0,161909125000.0,126829340000.0,124312705000.0,133047510000.0,151249007000.0,341600705000.0,366037656000.0,392082388000.0,423475265000.0,338637609000.0,400114623000.0,500571647000.0,592669072000.0,-9835377000.0,-12287433000.0,-12567230000.0,-6559348000.0,0.27,0.32,0.35000000000000003,0.45,458506213000.0,506392963000.0,543470147000.0,585384390000.0,6599712000.0,7862185000.0,8374970000.0,10272357000.0,CNY,98385,,,,,,
SHIJIAZHUANG YILING PHARMACEUTICAL,2931,3841,5067,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology']",522,546,927,9618,,,"Shijiazhuang Yiling Pharmaceutical Co., Ltd.",7952544646.77,8923352896.21,9072169268.26,10930271821.68,7944414540.89,8919266488.04,9569601120.11,11132367365.93,1116852221.96,2568984805.44,3832673071.98,5405840867.59,5825294498.85,8782479676.66,10116793937.78,12532841028.58,37121472.24,-1040197854.45,-506758842.82,-1994800827.61,0.364286,0.7295,0.8044,1.4137,9069396868.73,11492337701.65,12904842340.24,16336112689.27,606501070.03,1218737679.42,1343856007.91,2361804714.55,CNY,,,,,,,
TOPCHOICE MEDICAL CORPORATION,2071,1785,2906,"['Healthcare', 'Healthcare Service', 'Hospitals']",327,205,420,,1995,,"Topchoice Medical Co., Inc.",1969653534.0,2348385078.87,3144472199.35,3618229183.34,2105868399.38,2375395299.56,2990633369.24,3339546839.97,690142905.52,716016706.49,1810291671.53,1536223702.61,1894218317.34,2087864861.61,2780725415.72,2718612472.58,-423100231.45,-294490481.08,-483770067.47,-497353851.32,1.45,1.54,2.19,1.71,2659796439.52,3064401785.36,4954763870.88,5154452885.95,463073018.65,492625408.36,702806792.12,548269040.78,CNY,5242,,,,,,
COSCO SHIPPING ENERGY TRANSPORTATION,4101,4728,3675,"['Industries', 'Shipping', 'Freight Transport']",843,638,588,6929,,,"COSCO SHIPPING Energy Transportation Co., Ltd.",29167605937.66,35602345369.62,29922282496.24,33570390259.01,47943738657.09,50926803519.24,41258122456.33,52317211047.39,36674255967.07,30357511154.83,29466655276.45,34679692078.86,13880075062.56,16384757725.42,12698667710.66,18657843200.85,-792335957.32,-4905127637.61,-2642457037.56,-5191382743.5,0.107,0.518,-1.0447,0.3057,65841861904.73,65959856524.45,59388937772.69,68250082337.87,431608020.77,2372519124.56,-4975409016.35,1457330240.75,CNY,8384,,,,,,
CHINA NATIONAL BUILDING MATERIAL COMPANY,1633,1615,1536,"['Basic Materials', 'Construction Materials', 'Cement']",247,264,190,155606,1984,,China National Building Material Company Limited,151256912000.0,165180810000.0,178624423000.0,192338477000.0,189916755000.0,194506393000.0,211775491000.0,218342781000.0,295291065000.0,291197468000.0,283917708000.0,290128856000.0,253403375000.0,254761813000.0,273683403000.0,230167736000.0,-26580321000.0,-29343111000.0,-35611280000.0,-25678867000.0,1.301,1.4889999999999999,1.932,0.9440000000000001,446547977000.0,456378278000.0,462542131000.0,482467333000.0,12144622000.0,13544590000.0,17013066000.0,8650135000.0,CNY,150457,,,,,,
SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY,2962,2349,2451,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",529,261,335,10433,,,Shandong Weigao Group Medical Polymer Company Limited,16996810000.0,18390454000.0,20907450000.0,,20620158000.0,21537756000.0,22722328000.0,,9328928000.0,8954215000.0,9459608000.0,,10364081000.0,11345252000.0,13151719000.0,,-1337267000.0,423221000.0,-1479374000.0,,0.41000000000000003,0.46,0.5,,26325738000.0,27344669000.0,30367058000.0,,1844883000.0,2030137000.0,2244778000.0,,CNY,12122,,,,,,
INDUSTRIAL SECURITIES,1878,1866,2171,"['Financial Services', 'Stock Markets, Trading, Capital Markets', 'Investments', 'Securities', 'Asset Management']",290,295,288,8906,1991,,China Industrial Securities International Financial Group Limited,3839641916.0,3347104333.0,4387197972.0,,7528536317.0,5634003333.0,6739515835.0,,20465030793.0,14916586562.0,12407605159.0,,1261563267.0,576700171.0,636370709.0,,-8792174.0,-12445387.0,-22343222.0,,-0.1155,-0.1231,0.01,,24304672709.0,18263690895.0,16794803131.0,,-461859447.0,-492537583.0,40093639.0,,HKD,193,,,,,,
SICHUAN CHUANTOU ENERGY,2226,2418,2325,"['Utilities', 'Power Generation', 'Electricity Generation']",356,395,314,,,,"Sichuan Chuantou Energy Co.,Ltd.",27656630310.19,29757696858.97,32289398591.03,35198844539.42,31278246470.92,34393587694.24,38997793179.09,44655522736.04,9798666960.81,11571435382.2,16177890709.35,19514972328.18,838331604.28,1031120302.57,1263333300.61,1420414976.88,-2429256825.69,1483449891.65,-2512772593.65,-1196715240.14,0.6695,0.7182000000000001,0.7009000000000001,0.7957000000000001,37455297271.0,41329132241.17,48467289300.38,54713816867.6,2947152991.28,3161648053.46,3087390563.92,3515265709.37,CNY,1496,,,,,,
ENN ECOLOGICALHOLDINGS,2095,2240,5335,"['Industries', 'Energy', 'Conglomerate']",332,481,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANGHAI M&G STATIONERY,2031,1956,2282,"['Industries', 'Pens & Stationery', 'Office Equipment']",315,218,307,,1997,,Shanghai M&G Stationery Inc.,4460925241.6,5440986860.6,6523291191.56,7252178061.67,4201500384.99,5193568712.05,6194891978.0,6849334531.67,3104190070.14,4268921575.72,4901096738.77,5770415317.82,11141101364.44,13137745727.18,17607403250.12,19996315623.32,-74352686.18,-1065448932.04,-662837857.46,-151492348.67,1.1523,1.3558,1.645,,7565115311.74,9709908436.32,11424387930.33,13022593379.49,1060083625.03,1255426655.27,1517866131.16,1282456788.17,CNY,5574,,,,,,
KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY,1847,1611,3586,"['Technology', 'Software and IT']",284,197,568,10663,1993,,Kingdee International Software Group Company Limited,6145671000.0,7958477000.0,7803139000.0,7407583000.0,5986928000.0,7789631000.0,7596492000.0,7650353000.0,2274482000.0,2763602000.0,3283993000.0,4323854000.0,3325590000.0,3356445000.0,4174147000.0,4865769000.0,-552736000.0,-1490626000.0,-1204742000.0,-787031000.0,0.11520000000000001,-0.1012,-0.09230000000000001,-0.1131,8420153000.0,10722079000.0,11087132000.0,11731437000.0,372580000.0,-335479000.0,-302330000.0,-389158000.0,CNY,12036,,,,,,
ADVANCED MICRO-FABRICATION EQUIPMENT CHINA,1653,1440,1897,"['Technology', 'Semiconductors']",254,214,251,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHONGQING SOKON INDUSTRY GROUP STOCK,1710,1387,6049,"['Consumer Cyclical', 'Automobile', 'Electric Vehicles', 'Engines Manufacturing']",265,791,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMAGE BIOTECHNOLOGY CORPORATION,1814,1536,2444,"['Basic Materials', 'Chemicals', 'Biotechnology']",279,251,333,,,,Bloomage BioTechnology Corporation Limited,4549554137.63,5018136547.2,5702459949.96,6682988078.25,4550342220.58,5019756802.12,5843192647.95,6741742343.58,422105730.03,698757707.99,1801280273.07,1998766272.32,1885570721.73,2632733956.17,4947773755.75,6359191975.49,-1247448014.17,-1331308237.99,-989864453.13,-836222221.0,1.34,1.35,1.63,2.02,4971659867.66,5716894255.19,7503740223.03,8681754350.57,585608417.9,645839219.95,782334573.48,970918593.78,CNY,4278,,,,,,
PING AN HEALTHCARE TECHNOLOGY,1679,1679,1679,"['Healthcare Service', 'Technology', 'Internet or Mobile App Based Business', 'Software and IT']",259,271,212,,2014,,Ping An Healthcare and Technology Company Limited,9669487000.0,15856199000.0,14085880000.0,13458508000.0,9648761000.0,15833210000.0,14083417000.0,13459580000.0,2709651000.0,2706672000.0,3794811000.0,3683560000.0,5065429000.0,6865987000.0,7334214000.0,6159821000.0,4476643000.0,-2497198000.0,-3100440000.0,,-0.73,-0.92,-1.3900000000000001,-0.56,12379138000.0,18562871000.0,17880691000.0,17142068000.0,-733860000.0,-948478000.0,-1538183000.0,-607569000.0,CNY,,True,,['ping-an-ventures'],['Ping An Ventures'],0,0
HAINAN AIRLINES HOLDING,1925,3234,3110,"['Industries', 'Airlines', 'Aviation']",300,670,468,26236,1989,,"Hainan Airlines Holding Co., Ltd.",62107157000.0,-22253907000.0,10966573000.0,458849000.0,54625875000.0,-28371512000.0,57203778000.0,47795575000.0,134427778000.0,186830599000.0,132288003000.0,137655426000.0,72389410000.0,29401026000.0,34002019000.0,22864193000.0,-30172583000.0,-3224558000.0,-1537091000.0,2672758000.0,0.006,-3.834,0.26,,196534935000.0,164576692000.0,143254576000.0,138114275000.0,543186000.0,-64003308000.0,4720934000.0,-20246960000.0,CNY,,,,,,,
FULL TRUCK ALLIANCE CO. LTD.,2041,1220,,"['Freight Transport', 'Software and IT', 'Technology']",318,,,4059,2011,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGADEVICE SEMICONDUCTOR (BEIJING),1240,1374,1538,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Memory Products']",184,196,191,,2005,,GigaDevice Semiconductor (Beijing) Inc.,5226045298.86,10693979521.96,13483048313.82,,5307873342.57,10693979521.96,13483048313.82,,947479167.64,1016747950.99,1935322526.27,,3202917103.2,4496894867.81,8510223468.73,,-668425881.11,318289788.59,-3278681393.25,,1.028571,1.3599999999999999,3.54,,6173524466.5,11710727472.95,15418370840.09,,606922090.23,880702107.75,2336793535.26,,CNY,,,,,,,
JIANGSU KING'S LUCK BREWERY JOINT-STOCK,1867,2265,2490,"['Consumer Defensive', 'Alcoholic Beverages', 'Wine', 'Beverages']",286,246,346,,1996,,"Jiangsu King's Luck Brewery Joint-Stock Co.,Ltd.",7206267606.52,8267340399.82,9297080023.12,,7206267606.52,8267340399.82,9297080023.12,,2856026819.31,3583761444.62,5136617095.49,,4873604054.68,5121586952.02,6408460952.44,,-1163094392.4,840166799.58,-1215531206.82,,1.1623,1.249,1.6183,,10062294425.83,11851101844.44,14433697118.61,,1458097936.32,1566907817.62,2029127929.45,,CNY,3761,,,,,,
NINGBO TUOPU GROUP,2145,3133,4258,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",341,429,739,7483,,,"Ningbo Tuopu Group Co.,Ltd.",7404649285.0,7818081345.88,10620425409.31,12159904141.33,7557992362.88,7786994893.67,10898767194.07,17311790982.59,3829664988.34,4297147174.01,8062267357.95,15350226682.14,5358953813.6,6511094914.05,11462693679.86,15992821677.5,-1026254249.95,-587280804.65,-3736424732.92,-5105820338.36,0.43,0.6000000000000001,0.93,1.54,11234314273.34,12115228519.89,18682692767.26,27510130823.47,456205818.45,628200888.31,1017253691.77,1700131795.33,CNY,17612,,,,,,
AVARY HOLDING (SHENZHEN),1327,1821,1044,"['Technology', 'Technology Hardware and Instruments', 'Electronics', 'Capital Goods', 'PCB']",200,156,134,35050,1999,,"Avary Holding(Shenzhen)Co., Limited",19829254992.49,21559286854.49,23812982133.03,27936787737.53,19829254992.49,21558026745.04,23972267683.03,28112507580.33,9026932916.16,11543128373.45,11728475469.82,10866237224.47,26614629372.49,29851314480.5,33314849220.68,36210971441.99,-3084879941.92,-4570151738.91,-6952026115.32,-4483924362.85,1.27,1.23,1.43,,28856187908.65,33102415227.94,35541457602.85,38803024962.0,2924614398.3,2841469977.38,3317274178.23,5011536639.03,CNY,35344,,,,,,
TCL CORPORATION,1441,1388,1739,"['Technology', 'Electronics', 'Mobiles & Accessories', 'Air Conditioners', 'Refrigerators']",221,181,224,48471,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAT GLASS GROUP,1328,1284,3896,"['Industries', 'Solar Power Devices', 'Glass Products', 'Building Products and Equipment']",201,245,635,3440,1998,,"Flat Glass Group Co., Ltd.",4512888388.0,7234742639.85,11810169072.79,14032447213.17,4794790798.3,8846436513.55,13777917500.83,21510195963.14,4879392181.91,5031057735.17,8272748027.71,18349275392.88,4806804020.96,6260417792.26,8713228065.59,15460843227.36,-1247772032.95,-2374161008.69,-3562560243.34,-7869015166.26,0.37,0.8300000000000001,0.99,0.99,9392280569.91,12265800375.02,20082917100.5,32381722606.05,717243708.67,1628783787.63,2119919326.43,2122780428.43,CNY,7693,,,,,,
BILIBILI,1373,710,627,"['Communication Services', 'Technology', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Internet or Mobile App Based Business']",209,87,74,8646,2010,2018,Bilibili Inc.,7636460000.0,7782204000.0,21716066000.0,15239587000.0,10467112000.0,15941122000.0,39487759000.0,23920978000.0,7880107000.0,16083404000.0,30337085000.0,26590983000.0,6777922000.0,11998976000.0,19383684000.0,21899167000.0,-3958277000.0,-8906821000.0,-24578111000.0,10609218000.0,-3.99,-8.71,-17.87,,15516567000.0,23865608000.0,52053151000.0,41830570000.0,-1288973000.0,-3011704000.0,-6789228000.0,-7497013000.0,CNY,11092,,,,,,
SPRING AIRLINES,2223,2415,2460,"['Industries', 'Airlines', 'Aviation']",355,333,336,,2005,,"Spring Airlines Co., Ltd.",15041336333.0,14180875954.0,13747091930.0,,19488813760.0,20163899050.0,23218940231.0,,14325404011.0,18249205015.0,24573203783.0,,14803517124.0,9372918140.0,10858107439.0,,-2280408480.0,-4887383744.0,-5962842410.0,,2.01,-0.64,0.04,,29366740344.0,32430080969.0,38320295713.0,,1841007063.0,-588413004.0,39111907.0,,CNY,,,,,,,
WALVAX BIOTECHNOLOGY,1379,1145,2184,"['Healthcare', 'Biotechnology', 'Biopharmaceutical', 'Pharmaceutical']",210,286,291,,2001,,"Walvax Biotechnology Co., Ltd.",5665963150.49,7847878380.67,9998798618.45,10989576272.95,4865163291.48,6544755378.08,8484232085.82,9398098661.74,1351761636.35,1790410950.89,3675315707.16,4338414855.63,1121220288.78,2939021219.05,3462831094.14,5086445195.1,192996355.6,-729999705.7,-977149844.0,-935186370.15,0.09230000000000001,0.6518,0.2727,0.4546,7017724786.84,9638289331.56,13674114325.61,15327991128.58,141974518.23,1003186827.75,427747681.59,728652009.34,CNY,2249,,,,,,
WUXI LEAD INTELLIGENT EQUIPMENT,1230,1239,2489,"['Industries', 'Electronics', 'Electrical Products', 'Solar Power Devices', 'Batteries']",182,236,345,,,,"Wuxi Lead Intelligent Equipment CO.,LTD.",4284159614.74,5615021449.26,9468866047.0,11123369629.13,5080550703.66,5615021449.26,9468866047.0,11123369629.13,5232536596.57,7047163127.46,14531285880.26,21783176273.01,4683978833.78,5858300569.0,10036591737.08,13932352081.34,-466447148.8,-502560756.53,-3615215076.6,2010084540.82,0.5427500000000001,0.5443,1.2827,1.4815,9516696211.31,12662184576.72,24000151927.26,32906545902.14,765572086.95,767505205.19,1584673046.04,2317580885.59,CNY,18774,,,,,,
GUOXUAN HIGH-TECH,1636,2011,4634,"['Industries', 'Chemicals', 'Batteries', 'Electrical Products']",248,340,816,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSETIME GROUP,2069,2069,2069,"['Artificial Intelligence', 'Technology', 'Software and IT']",324,337,270,,,,SenseTime Group Inc.,-10654299000.0,-20932540000.0,31987084000.0,29013860000.0,-10790146000.0,-20645233000.0,32232016000.0,31877377000.0,34602346000.0,59411177000.0,4957235000.0,8413133000.0,3026603000.0,3446165000.0,4700263000.0,3808510000.0,-1627898000.0,-7070472000.0,-1548074000.0,-9298217000.0,-0.149104,-0.36530399999999996,-0.514989,,23948047000.0,38478637000.0,36944319000.0,37426993000.0,-4962548000.0,-12158193000.0,-17140086000.0,-6044796000.0,CNY,5098,,,,,,
XINYI SOLAR HOLDINGS,1465,1050,2349,"['Technology', 'Power Equipment', 'Solar Power Devices']",225,113,319,7072,2008,,Xinyi Solar Holdings Limited,18573129000.0,32024518000.0,35897421000.0,,18056373000.0,29224915000.0,34662424000.0,,9823891000.0,11398871000.0,13172932000.0,,9096101000.0,12315829000.0,16064655000.0,,-2262423000.0,-3194809000.0,-4757850000.0,,0.3028,0.554,0.5565,,28397020000.0,43423389000.0,49070353000.0,,2416462000.0,4560853000.0,4924347000.0,,HKD,8459,,,,,,
SINOLINK SECURITIES,3114,3379,3192,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",575,348,490,,,,"Sinolink Securities Co., Ltd.",20788413207.85,22540181729.51,24504412778.63,31332372488.62,28657483499.72,38569220061.48,48868779112.25,51323671047.82,29362617956.88,45090158556.94,63808422005.8,70848106566.4,4351880021.97,6047656854.11,7138857408.69,5669918504.09,979760567.55,-295981937.47,-37040429.46,-3705484078.58,0.429,0.616,0.766,0.343,50151031164.73,67630340286.45,88312834784.43,102180479055.02,1298539701.33,1862640224.66,2317318717.0,1198294039.81,CNY,4454,,,,,,
AVIC AVIATION HIGH-TECHNOLOGY,2534,2532,4820,"['Industries', 'Industry Machinery', 'Rent / Lease Services']",413,415,865,,1988,,"Avic Aviation High-Technology Co., Ltd.",4187902706.75,4400660303.38,4880086053.2,5639234525.72,4440948356.06,4397746308.57,4840914743.63,5435736749.68,2352603887.73,2124852075.86,2042749415.89,1987991483.81,2473398794.74,2911744234.93,3807624171.31,4446112680.24,-18811341.35,-997699549.39,64204574.87,144004488.6,0.4,0.31,0.42,,6540506594.48,6525512379.24,6922835469.09,7627226009.53,551582618.5,430895826.13,591408994.94,765300799.53,CNY,1526,,,,,,
LOONGSON TECHNOLOGY CORPORATION LIMITED,,,,,,,,,,,Loongson Technology Corporation Limited,888296171.08,1129433849.1,1392284589.88,,887950222.66,1129433849.1,1392284589.88,,291338584.57,526883466.87,597196573.67,,485629263.56,1082320993.24,1201253983.94,,-51051284.74,-271613940.26,-225209037.09,,0.62,0.2,0.66,,1179634755.65,1656317315.97,1989481163.55,,193121570.09,71798490.78,236804803.48,,CNY,,,,,,,
CHINA HUARONG ASSET MANAGEMENT,5933,3372,2212,"['Financial Services', 'Asset Management', 'Investments']",1345,603,296,10947,,,"China Huarong Asset Management Co., Ltd.",163476482000.0,64256864000.0,103984427000.0,48379374000.0,1274115388000.0,1180840930000.0,1137477334000.0,878195189000.0,1541535924000.0,1577210172000.0,1464437355000.0,906946622000.0,26316603000.0,-87463064000.0,19452672000.0,-29683057000.0,71008610000.0,-2732736000.0,43413381000.0,8577936000.0,0.04,-2.634,0.01,-0.34400000000000003,1705012406000.0,1641467036000.0,1568421782000.0,955325996000.0,1424432000.0,-102902991000.0,378475000.0,-33381449000.0,CNY,4196,,,,,,
ZHEJIANG WEIMING ENVIRONMENT PROTECTION,2557,3188,3803,"['Industries', 'Waste and Trash Management']",422,711,617,,2001,,"Zhejiang Weiming Environment Protection Co., Ltd.",4234135305.86,5548702502.07,8189530349.32,10543965093.71,5160133079.19,7633482283.35,10262853696.33,14487644685.59,2680393978.16,4924529413.23,6461847011.75,9679811675.71,2038106159.94,3123489237.85,4185369510.03,4446142104.7,-1200794386.44,-2167271136.31,-2119544101.56,-3034767374.99,0.615385,0.769231,0.98,,6914529284.02,10473231915.3,14651377361.07,20223776769.42,974452074.12,1257268895.06,1535462063.74,1653192632.79,CNY,3312,,,,,,
