company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,matched_to,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,currency,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
360 SECURITY TECHNOLOGY,1416.0,1581.0,698.0,"['Technology', 'Software and IT', 'Network Hardware and Software', 'Software Products', 'Software and IT Infrastructure']",217.0,170.0,85.0,6639.0,2005.0,,360 Security Technology Inc.,5.07,7.504,7.08,6.938,5.98,2.913,0.902,-2.204,0.88,0.43,0.13,-0.31,12.841,11.615,10.886,9.521,28.7,36.826,35.007,31.733,-4.12,-3.132,-0.318,3.746,33.752,44.262,42.039,38.616,28.682,36.758,34.96,31.678,CNY,True,,['qihoo-360'],['Qihoo 360'],2.0,0.0
SEAZEN HOLDINGS CO. LTD,1714.0,1675.0,1257.0,"['Real Estate', 'Construction', 'Property Investments']",266.0,227.0,154.0,30908.0,1993.0,,"Seazen Holdings Co., Ltd",400.175,455.614,437.169,368.446,12.654,15.256,12.598,1.394,5.62,6.79,5.59,,85.847,145.475,168.232,115.457,81.901,118.354,120.473,99.437,-9.027,-15.97,-22.46,-0.721,462.11,537.753,534.293,457.907,61.935,82.138,97.124,89.461,CNY,,,,,,
ASYMCHEM LABORATORIES (TIANJIN),1418.0,1587.0,3075.0,"['Healthcare', 'Biotechnology', 'Pharmaceutical']",218.0,243.0,462.0,,1998.0,,"Asymchem Laboratories (Tianjin) Co., Ltd.",0.713,1.163,2.546,2.544,0.554,0.722,1.069,3.302,1.728571,2.214286,3.15,9.02,2.46,3.15,4.639,10.255,3.046,5.995,12.61,15.647,-0.7,-1.102,-2.205,-4.671,3.759,7.158,15.156,18.239,3.046,5.995,12.61,15.695,CNY,,,,,,
CHINA SATELLITE COMMUNICATIONS,2025.0,1883.0,2201.0,"['Communication Services', 'Television Services', 'Broadcasting', 'Telecom', 'Radio Broadcasting']",313.0,242.0,294.0,,2001.0,,"China Satellite Communications Co., Ltd.",2.847,2.866,3.333,,0.446,0.489,0.572,,0.1175,0.1222,0.1431,,2.734,2.71,2.634,,11.303,11.584,12.006,,-1.835,-1.954,-1.407,,18.157,18.289,19.108,,15.31,15.423,15.775,,CNY,,,,,,
SHENGJING BANK,2283.0,2328.0,2024.0,"['Financial Services', 'Banking Services']",368.0,319.0,259.0,7556.0,1998.0,,Shengjing Bank Co Ltd,942.359,957.912,925.623,,5.443,1.204,0.402,,0.9,0.14,0.05,,21.354,14.075,14.159,,159.549,124.715,88.307,,89.024,64.24,41.384,,1021.481,1037.958,1006.126,,79.122,80.047,80.503,,CNY,,,,,,
THUNDER SOFTWARE TECHNOLOGY,2132.0,2460.0,4327.0,"['Technology', 'Software and IT']",337.0,345.0,752.0,,2008.0,,"Thunder Software Technology Co.,Ltd.",0.86,1.171,1.977,1.411,0.238,0.443,0.647,0.769,0.5941000000000001,1.0805,1.5271,,1.827,2.628,4.127,5.445,1.92,4.332,5.19,9.067,-0.074,-0.525,-0.443,-0.454,2.83,5.558,7.239,10.721,1.969,4.387,5.262,9.31,CNY,True,,['thundersoft-software-technology'],['Thundersoft Software Technology'],0.0,3.0
"NATIONAL SILICON INDUSTRY GROUP CO., LTD.",1906.0,1804.0,,"['Technology', 'Semiconductors']",297.0,,,,2015.0,,"National Silicon Industry Group Co., Ltd.",4.789,4.959,5.762,5.916,-0.09,0.087,0.146,0.325,-0.05,0.038,0.059,,1.493,1.811,2.467,3.6,5.833,11.059,12.901,16.584,-1.044,-1.908,-1.199,-5.777,9.963,14.499,16.257,25.463,5.174,9.54,10.494,19.546,CNY,,,,,,
CHINA MERCHANTS EXPRESSWAY NETWORK & TECHNOLOGY HOLDINGS,2327.0,2609.0,1916.0,"['Industries', 'Infrastructure']",377.0,410.0,253.0,,1965.0,,"China Merchants Expressway Network & Technology Holdings Co.,Ltd.",36.975,34.275,35.0,,4.327,2.223,4.973,,0.7036,0.3533,0.7681,0.7528,8.185,7.069,8.626,,71.224,74.083,79.239,,-2.313,-4.916,-2.415,,90.913,94.009,98.321,,53.938,59.734,63.321,,CNY,,,,,,
"EMPYREAN TECHNOLOGY CO., LTD.",,,,,,,,,,,"Empyrean Technology Co., Ltd.",0.199,0.483,0.807,,0.057,0.104,0.139,,,0.31,0.32,,0.257,0.415,0.579,,0.492,0.976,1.176,,-0.03,-0.429,-0.441,,0.691,1.341,1.802,,0.492,0.857,0.995,,CNY,,,,,,
GEMDALE CORPORATION,1973.0,2389.0,1648.0,"['Real Estate', 'Property Investments', 'Construction', 'Commercial Properties']",307.0,281.0,207.0,9114.0,1988.0,,Gemdale Corporation,252.447,307.592,352.603,,10.075,10.398,9.41,,2.23,2.3,2.08,,63.42,83.982,99.232,,110.683,123.924,146.763,,-9.641,-10.037,-9.555,,334.816,401.63,462.81,,82.369,94.038,110.207,,CNY,,,,,,
SHANGHAI JUNSHI BIOSCIENCES,2456.0,2393.0,4427.0,"['Healthcare', 'Biotechnology', 'Biopharmaceutical']",400.0,269.0,776.0,1357.0,2012.0,,"Shanghai Junshi Biosciences Co., Ltd.",1.434,2.17,2.719,,-0.744,-1.666,-0.719,,-0.95,-2.02,-0.8,,0.775,1.595,4.025,,3.733,6.383,8.451,,-0.952,-0.698,-1.881,,4.422,8.011,11.051,,2.989,5.841,8.332,,CNY,,,,,,
YUANFUDAO,2069.0,2069.0,2069.0,"['Education', 'Technology', 'Internet or Mobile App Based Business']",326.0,339.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNING FINANCE,2069.0,2069.0,2069.0,['Financial Services'],325.0,338.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEICAI,2069.0,2069.0,2069.0,"['Internet or Mobile App Based Business', 'eCommerce', 'Agriculture Products']",323.0,336.0,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHEJIANG SATELLITE PETROCHEMICAL,1671.0,1886.0,4388.0,"['Basic Materials', 'Chemicals', 'Petrochemicals']",257.0,536.0,766.0,3271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANHUI YINGJIA DISTILLERY,2282.0,3058.0,4807.0,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",367.0,615.0,860.0,,,,"Anhui Yingjia Distillery Co., Ltd.",2.204,2.22,2.641,3.094,0.93,0.953,1.382,1.705,1.16,1.19,1.73,2.13,3.777,3.452,4.577,5.505,4.748,5.142,5.964,6.929,-0.244,0.149,-1.332,-0.767,6.969,7.381,8.628,10.06,4.764,5.162,5.987,6.966,CNY,,,,,,
SHANXI XISHAN COAL AND ELECTRICITY POWER,3088.0,2612.0,4251.0,"['Energy', 'Coal Mining', 'Mining']",562.0,738.0,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOOLEARN TECHNOLOGY HOLDING,37166.0,12907.0,4808.0,"['Consumer Defensive', 'Education']",,781.0,861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA NATIONAL CHEMICAL ENGINEERING CO. LTD,1689.0,2034.0,2913.0,"['Industries', 'Engineering Products', 'Engineering Services', 'Construction']",263.0,589.0,422.0,42681.0,,,"China National Chemical Engineering Co., Ltd",78.274,95.284,125.395,136.24,3.061,3.659,4.633,5.415,0.62,0.71,0.84,,104.129,109.995,137.919,158.437,41.131,43.043,54.176,59.183,-1.51,-1.466,-3.168,-5.681,115.865,136.008,177.896,194.566,37.592,40.724,52.501,58.325,CNY,,,,,,
HITHINK ROYALFLUSH INFORMATION NETWORK,1759.0,1988.0,1768.0,"['Technology', 'Software and IT', 'Software Products']",272.0,262.0,230.0,,2001.0,,"Hithink RoyalFlush Information Network Co., Ltd.",1.246,1.931,2.025,1.782,0.898,1.724,1.911,1.691,1.67,3.21,3.56,,1.742,2.844,3.51,3.559,3.99,5.224,6.477,7.245,-0.542,0.101,-0.236,-0.29,5.236,7.156,8.501,9.028,3.99,5.224,6.477,7.245,CNY,,,,,,
LENS TECHNOLOGY,1200.0,1187.0,1728.0,"['Technology', 'Electronics', 'Capital Goods', 'Sensors']",175.0,130.0,221.0,198990.0,2003.0,,"Lens Technology Co., Ltd.",24.591,37.257,33.812,33.964,2.469,4.896,2.07,2.448,0.62,1.12,0.42,,30.258,36.939,45.268,46.699,25.733,49.09,53.651,53.295,-4.463,-15.274,-8.549,-5.577,47.029,79.576,76.611,78.346,22.438,42.319,42.799,44.382,CNY,,,,,,
BYD ELECTRONIC (INTERNATIONAL) COMPANY,2367.0,1914.0,2825.0,"['Technology', 'Communications Equipment', 'Electronics']",388.0,230.0,401.0,224280.0,2007.0,,BYD Electronic (International) Company Limited,11.038,15.704,17.148,,1.598,5.441,2.31,,0.71,2.41,1.03,,53.028,73.121,89.057,,16.989,22.272,24.027,,-2.852,-2.981,-3.764,,28.027,37.976,41.175,,16.989,22.272,24.027,,CNY,False,,['byd'],['BYD'],0.0,1.0
SHEDE SPIRITS,1687.0,1977.0,6261.0,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",262.0,594.0,,6630.0,1993.0,,"Shede Spirits Co., Ltd.",2.536,2.673,3.097,3.26,0.508,0.581,1.246,1.685,1.5218,1.7452,3.7825,,2.65,2.704,4.969,6.056,3.038,3.58,4.794,6.354,-0.171,-0.668,-1.045,-0.428,5.777,6.454,8.093,9.798,3.24,3.781,4.997,6.538,CNY,,,,,,
CHINA FEIHE,1650.0,1269.0,1509.0,"['Consumer Defensive', 'Food Products', 'Dairy Products', 'FMCG', 'Package Foods']",253.0,128.0,184.0,7385.0,1962.0,,China Feihe Limited,9.974,9.137,9.078,,3.935,7.437,6.871,,0.48,0.8300000000000001,0.77,,13.722,18.592,22.776,,14.746,18.479,21.543,,-5.515,-3.786,-2.444,,23.004,28.323,31.481,,13.03,19.186,22.403,,CNY,,,,,,
YEALINK NETWORK TECHNOLOGY,1630.0,1726.0,2289.0,"['Technology', 'Communications Equipment', 'Technology Hardware and Instruments', 'Electronics', 'Network Hardware and Software']",246.0,265.0,309.0,,2001.0,,"Yealink Network Technology Co., Ltd.",0.431,0.576,0.774,0.715,1.235,1.279,1.616,2.178,1.3786,1.4271,1.7986,2.4185,2.489,2.754,3.684,4.811,4.396,5.203,6.332,7.891,-1.064,-0.41,-0.641,-1.229,4.827,5.779,7.105,8.607,4.396,5.203,6.332,7.891,CNY,,,,,,
UNISPLENDOUR CORPORATION,1888.0,1917.0,1620.0,"['Technology', 'Electronics', 'Technology Hardware and Instruments', 'Computers Hardware']",293.0,292.0,201.0,14484.0,1988.0,,Unisplendour Corporation Limited,22.38,24.653,30.763,36.235,1.843,1.895,2.148,2.158,0.645,0.634,0.751,,54.099,59.705,67.638,74.058,28.183,29.745,30.061,32.041,2.165,-2.574,1.776,0.038,54.739,58.833,66.43,74.063,32.359,34.18,35.668,37.828,CNY,,,,,,
SINOPHARM GROUP,2498.0,2276.0,1388.0,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products']",407.0,364.0,167.0,,2003.0,,Sinopharm Group Co. Ltd.,192.949,221.289,235.758,254.706,6.253,7.187,7.759,8.526,2.11,2.31,2.49,2.73,425.273,456.415,521.051,552.148,55.795,65.278,70.305,79.819,-6.796,-2.203,-1.267,-3.59,269.888,311.237,335.412,364.775,76.939,89.947,99.654,110.069,CNY,,,,,,
SHANGHAI JIN JIANG INTERNATIONAL HOTELS DEVELOPMENT,2169.0,2734.0,3525.0,"['Consumer Cyclical', 'Hotels', 'Restaurants']",346.0,401.0,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUAYU AUTOMOTIVE SYSTEMS COMPANY,1457.0,1787.0,1327.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",223.0,201.0,162.0,,1992.0,,HUAYU Automotive Systems Company Limited,80.426,92.248,100.172,105.742,6.463,5.403,6.469,7.203,2.05,1.714,2.052,2.285,144.024,133.578,139.944,158.268,53.239,55.265,53.102,55.405,-1.638,0.406,0.975,-2.31,139.127,150.436,153.847,162.797,58.702,58.188,53.675,57.055,CNY,,,,,,
CHINA JUSHI,1670.0,1806.0,2571.0,"['Basic Materials', 'Glass Products', 'Chemicals']",256.0,252.0,363.0,,1999.0,,"China Jushi Co., Ltd.",17.524,18.391,20.307,19.836,2.129,2.416,6.028,6.61,0.531759,0.6036,1.5059,,10.493,11.666,19.707,20.192,20.993,23.7,28.09,33.406,-4.778,-1.528,-3.531,-1.247,33.604,36.737,43.828,48.634,16.081,18.346,23.521,28.797,CNY,,,,,,
"SHANGHAI RURAL COMMERCIAL BANK CO., LTD.",,,,,,,,,,,"Shanghai Rural Commercial Bank Co., Ltd.",855.732,976.505,1061.045,1175.683,8.846,8.161,9.698,10.974,1.019084,0.94,1.08,1.14,20.402,22.032,23.979,25.574,151.056,207.264,213.983,217.983,-31.232,-13.083,8.076,-100.761,929.938,1056.977,1158.376,1281.399,74.206,80.472,97.331,105.716,CNY,,,,,,
CHINA EASTERN AIRLINES CORPORATION,1472.0,1929.0,1195.0,"['Industries', 'Airlines', 'Aviation', 'Transportation']",227.0,260.0,146.0,77005.0,1988.0,1997.0,China Eastern Airlines Corporation Limited,212.539,225.496,231.638,,3.192,-11.836,-12.214,,0.21,-0.72,-0.73,,120.796,58.47,66.887,,95.612,86.994,104.407,,-4.899,-6.283,2.155,,285.185,284.65,288.79,,72.646,59.154,57.152,,CNY,,,,,,
SHANGHAI ELECTRIC GROUP COMPANY,1822.0,1963.0,1523.0,"['Industries', 'Electrical Products', 'Power Generation', 'Industry Machinery']",281.0,248.0,187.0,33720.0,2004.0,,Shanghai Electric Group Company Limited,188.934,208.553,202.658,193.827,3.501,3.758,-9.988,-3.566,4.6,5.0,-12.8,-4.6,127.509,137.285,131.388,117.623,81.532,84.294,84.47,77.259,-12.276,-3.605,5.859,-7.317,280.524,315.403,300.802,288.021,91.589,106.849,98.144,94.194,CNY,,,,,,
CHINA ZHENHUA (GROUP) SCIENCE & TECHNOLOGY,1971.0,2334.0,6656.0,"['Technology', 'Communications Equipment']",306.0,554.0,,,1997.0,,"China Zhenhua (Group) Science & Technology Co., Ltd",3.384,2.986,3.686,3.807,0.298,0.606,1.491,2.382,0.5781000000000001,1.1763,2.8946,4.5965,3.668,3.95,5.656,7.267,6.401,6.443,7.794,10.466,-0.198,-0.169,-0.382,-0.386,8.767,8.958,11.123,13.56,5.382,5.972,7.437,9.753,CNY,,,,,,
WANT WANT CHINA HOLDINGS,1646.0,2261.0,1333.0,"['Consumer Defensive', 'Food and Beverage', 'Food Products', 'FMCG', 'Package Foods']",250.0,299.0,163.0,39132.0,2007.0,,Want Want China Holdings Limited,,14.471,16.271,13.149,,3.649,4.158,4.203,,0.2938,0.3383,0.3516,,20.095,21.998,23.985,,23.566,21.392,20.18,,-0.292,-2.914,-3.433,,29.825,31.243,29.858,,15.354,14.972,16.709,CNY,,,,,,
ZHEJIANG NHU COMPANY,1617.0,1756.0,2075.0,"['Healthcare', 'Chemicals', 'Pharmaceutical', 'HealthCare Products']",241.0,244.0,274.0,,1999.0,,Zhejiang NHU Company Ltd.,11.601,11.493,12.828,14.605,2.169,3.564,4.324,3.62,0.7013889999999999,1.15,1.41,1.17,7.621,10.314,14.798,15.934,20.746,23.473,26.949,28.848,-4.363,-0.194,-3.392,-3.839,28.502,30.897,34.692,38.268,16.901,19.404,21.864,23.662,CNY,,,,,,
MANGO EXCELLENT MEDIA,1264.0,1642.0,1437.0,"['Consumer Cyclical', 'eCommerce', 'Retail', 'Internet or Mobile App Based Business']",189.0,136.0,175.0,,2005.0,,"Mango Excellent Media Co., Ltd.",8.258,8.644,9.114,10.243,1.156,1.982,2.114,1.825,0.66,1.11,1.17,0.98,12.501,14.006,15.356,13.704,8.784,10.588,16.966,18.851,0.109,0.194,-3.193,0.654,17.078,19.266,26.111,29.05,8.82,10.621,16.997,18.806,CNY,,,,,,
HNA INFRASTRUCTURE INVESTMENT GROUP,2270.0,2682.0,4498.0,"['Real Estate', 'Infrastructure']",365.0,642.0,790.0,,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['hna-capital'],['HNA Capital'],0.0,3.0
MAXSCEND MICROELECTRONICS COMPANY,1205.0,1101.0,2436.0,"['Technology', 'Electronics', 'Semiconductors']",177.0,175.0,331.0,217.0,2012.0,,Maxscend Microelectronics Company Limited,0.226,0.438,0.813,,0.497,1.073,2.135,,1.096042,2.069438,4.009688,,1.512,2.792,4.634,,1.703,2.66,7.642,,-0.582,0.13,-3.356,,1.923,3.09,8.448,,1.698,2.652,7.634,,CNY,,,,,,
ZHEJIANG CHINT ELECTRICS,1202.0,1174.0,1832.0,"['Industries', 'Electrical Products']",176.0,215.0,242.0,25140.0,1997.0,,"Zhejiang Chint Electrics Co., Ltd.",30.326,38.088,50.982,,3.762,6.427,3.401,,1.75,2.99,1.58,,30.226,33.253,38.865,,33.448,42.24,47.948,,-4.881,-7.418,-8.866,,55.277,69.27,85.451,,24.952,31.182,34.469,,CNY,,,,,,
VIPSHOP HOLDINGS,2816.0,1952.0,1532.0,"['Consumer Cyclical', 'Consumer Services', 'Retail', 'Internet or Mobile App Based Business', 'eCommerce']",489.0,140.0,189.0,7567.0,2008.0,2012.0,Vipshop Holdings Limited,26.333,29.555,28.459,31.402,4.017,5.907,4.681,6.299,6.016,8.746,6.876,,92.994,101.858,117.06,103.152,21.892,28.498,32.633,32.752,-8.241,-6.695,-2.326,,48.583,58.941,62.288,65.476,22.25,29.386,33.828,34.073,CNY,,,,,,
KANZHUN LTD,1338.0,1393.0,,"['Outsourcing and Staffing', 'Internet or Mobile App Based Business', 'Technology']",204.0,,,3388.0,2013.0,2021.0,Kanzhun Limited,3.54,7.383,2.968,3.186,-0.502,-0.942,-1.071,0.107,-2.061825,-3.441765,-4.66,0.24,0.999,1.944,4.259,4.511,-1.661,-2.3,10.674,11.641,-1.224,0.467,-0.602,-2.817,1.879,5.083,13.642,14.827,-1.661,-2.3,10.674,11.641,CNY,,,,,,
NEW HOPE LIUHE,1621.0,2399.0,1282.0,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'Farming / Seeds / Milling']",242.0,180.0,156.0,70600.0,1998.0,,"New Hope Liuhe Co.,Ltd.",31.568,58.073,86.255,,5.042,4.944,-9.591,,1.22,1.17,-2.2,,82.051,109.825,126.262,,31.016,65.557,77.586,,-8.737,-34.015,-16.948,,64.218,109.443,132.734,,32.65,51.371,46.48,,CNY,,,,,,
COUNTRY GARDEN SERVICES HOLDINGS COMPANY,1170.0,856.0,1646.0,"['Real Estate', 'Construction', 'Infrastructure']",171.0,135.0,206.0,101784.0,1992.0,,Country Garden Services Holdings Company Limited,6.59,15.045,28.439,30.168,1.671,2.686,4.033,1.943,0.6273000000000001,0.9762,1.2842,0.5768,9.645,15.6,28.843,41.367,5.373,14.813,36.629,38.472,-1.628,-4.632,-25.092,0.755,12.269,31.204,66.813,70.077,5.68,16.159,38.373,39.909,CNY,True,,['country-group-holdings-cgh'],['Country Group Holdings (CGH)'],1.0,0.0
SG MICRO CORP,1790.0,1800.0,3355.0,"['Technology', 'Semiconductors']",276.0,420.0,521.0,572.0,2007.0,,SG Micro Corp,0.273,0.368,0.645,0.893,0.176,0.289,0.699,0.874,0.5071559999999999,0.8258000000000001,1.9774,2.4533,0.792,1.197,2.238,3.188,1.115,1.494,2.406,3.466,-0.099,0.229,-0.32,-0.526,1.393,1.867,3.049,4.343,1.121,1.498,2.404,3.451,CNY,,,,,,
GOERTEK,752.0,881.0,1621.0,"['Technology', 'Consumer Electronics', 'Electronics', 'Watches', 'Gaming']",91.0,146.0,202.0,87346.0,2001.0,,Goertek Inc.,18.531,29.384,33.148,46.919,1.281,2.848,4.275,1.749,0.4,0.89,1.29,0.52,35.148,57.743,78.221,104.894,16.451,25.439,29.532,31.698,-3.038,-5.301,-6.768,-9.077,34.66,49.118,61.079,77.176,16.129,19.734,27.931,30.258,CNY,,,,,,
CHAOZHOU THREE-CIRCLE (GROUP),1554.0,1945.0,2466.0,"['Technology', 'Electronics', 'Capital Goods']",235.0,255.0,338.0,,1970.0,,"Chaozhou Three-Circle (Group) Co.,Ltd.",1.062,1.533,2.428,2.49,0.871,1.44,2.011,1.505,0.5,0.8200000000000001,1.1,0.79,2.726,3.994,6.218,5.149,7.51,10.813,16.19,17.1,-0.856,-1.051,-1.877,-3.807,8.572,12.347,18.62,19.593,7.51,10.814,16.192,17.103,CNY,,,,,,
MING YANG SMART ENERGY GROUP,2470.0,2933.0,4536.0,"['Industries', 'Industry Machinery', 'Power Equipment', 'Machinery Manufacturing']",404.0,477.0,795.0,10163.0,,,Ming Yang Smart Energy Group Limited,27.604,36.543,42.999,,0.713,1.374,3.101,,0.525,0.95,1.6,,10.493,22.457,27.158,,11.375,19.142,23.094,,-2.143,-3.763,-6.935,,34.696,51.628,61.493,,7.092,15.084,18.494,,CNY,,,,,,
CHINA ZHESHANG BANK CO. LTD,1701.0,1779.0,4530.0,"['Financial Services', 'Banking Services', 'Credit Cards', 'Mortgage']",264.0,216.0,793.0,16272.0,2004.0,,China Zheshang Bank Co Ltd,1672.758,1915.682,2119.84,2456.0,12.925,12.309,12.648,13.618,0.64,0.53,0.55,,46.447,38.707,41.856,48.541,333.447,368.244,484.901,485.966,57.145,-0.88,-77.722,-130.201,1800.786,2048.225,2286.723,2621.93,128.028,132.543,166.883,165.93,CNY,False,,['china-zheshang-bank'],['China Zheshang Bank'],0.0,3.0
GUANGHUI ENERGY,2567.0,2909.0,3750.0,"['Energy', 'Oil and Gas']",424.0,879.0,607.0,,1994.0,,"Guanghui Energy Co., Ltd.",32.123,36.878,38.929,32.965,1.597,1.336,5.003,11.338,0.2353,0.1994,0.7688,1.7268,14.042,15.134,24.865,59.409,26.238,27.818,30.731,36.334,-3.152,-3.255,-3.207,-0.383,48.742,54.12,59.709,61.575,16.618,17.243,20.78,28.611,CNY,,,,,,
HUIZHOU DESAY SV AUTOMOTIVE,1660.0,2521.0,4638.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Electronics']",255.0,374.0,818.0,4506.0,1986.0,,"Huizhou Desay SV Automotive Co., Ltd.",2.13,2.907,4.735,7.213,0.292,0.518,0.833,1.184,0.53,0.94,1.51,,5.337,6.799,9.569,14.933,4.218,4.64,5.339,7.051,-0.23,-0.067,-0.773,-1.046,6.348,7.55,10.152,13.756,4.218,4.643,5.416,6.543,CNY,,,,,,
XCMG CONSTRUCTION MACHINERY,2339.0,2230.0,2239.0,"['Industries', 'Construction Equipment', 'Heavy Machinery', 'Machinery Manufacturing', 'Heavy Vehicles']",379.0,414.0,300.0,,2021.0,,"XCMG Construction Machinery Co., Ltd.",43.645,57.627,72.86,,3.621,3.729,5.615,,0.432,0.4505,0.7052,,59.176,73.968,84.328,,38.931,39.359,45.329,,-2.837,-1.019,-8.125,,77.292,91.797,110.029,,33.646,34.171,37.169,,CNY,,,,,,
SHENZHEN TRANSSION HOLDINGS,1074.0,1185.0,2558.0,"['Technology', 'Communications Equipment']",148.0,144.0,358.0,,2006.0,,"Shenzhen Transsion Holdings Co., Ltd.",9.479,15.481,17.399,,1.793,2.686,3.909,,2.42,3.36,4.88,,25.346,37.792,49.412,,8.348,10.492,14.023,,-2.873,0.818,-5.84,,17.744,25.991,31.459,,8.265,10.509,14.061,,CNY,,,,,,
YUNNAN BOTANEE BIO-TECHNOLOGY GROUP CO.LTD,1675.0,1579.0,,"['Healthcare', 'Biotechnology', 'Personal Care Products', 'FMCG']",258.0,,,,2010.0,,Yunnan Botanee Bio-Technology Group Co.LTD,0.323,0.4,1.034,1.117,0.412,0.544,0.863,1.051,1.14,1.51,2.12,2.48,1.944,2.636,4.022,5.014,0.756,1.199,4.755,5.552,-0.061,-0.086,-2.558,-0.018,1.084,1.602,5.812,6.719,0.761,1.202,4.778,5.602,CNY,,,,,,
BEIJING TONGRENTANG CO. LTD,1753.0,2670.0,2565.0,"['Healthcare', 'Pharmaceutical']",271.0,521.0,362.0,6152.0,1997.0,,"Beijing Tongrentang Co., Ltd",6.262,6.291,8.4,8.59,0.985,1.031,1.227,1.426,0.719,0.752,0.895,,13.277,12.826,14.603,15.372,10.466,10.315,11.379,13.029,-0.317,-0.961,-0.342,-0.211,20.922,21.838,25.073,27.044,14.66,15.546,16.673,18.454,CNY,,,,,,
DONGFANG ELECTRIC CORPORATION,1974.0,2611.0,3168.0,"['Industries', 'Industry Machinery', 'Power Equipment']",308.0,585.0,478.0,17336.0,1984.0,,Dongfang Electric Corporation Limited,57.821,64.154,67.721,76.64,1.278,1.862,2.289,2.855,0.41,0.6000000000000001,0.73,0.92,32.84,37.283,47.819,55.353,30.082,31.627,34.063,35.933,1.37,-0.68,-3.053,-13.186,89.619,97.795,103.105,115.265,31.798,33.642,35.384,38.625,CNY,,,,,,
XPENG MOTORS,508.0,571.0,1677.0,"['Automobile', 'Electric Vehicles', 'Passenger Vehicles']",57.0,83.0,211.0,3676.0,2014.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANGHAI PHARMACEUTICALS HOLDING CO. LTD,2269.0,2504.0,2067.0,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",364.0,361.0,267.0,,1994.0,,"Shanghai Pharmaceuticals Holding Co., Ltd",87.64,94.445,104.369,120.132,4.081,4.496,5.093,5.617,1.44,1.58,1.79,1.61,186.566,191.909,215.824,231.981,50.793,46.539,56.517,73.323,-4.584,-1.706,-6.016,-12.473,137.026,149.186,163.436,198.135,49.386,54.741,59.066,78.002,CNY,,,,,,
CHONGQING BREWERY,1885.0,1928.0,3548.0,"['Consumer Defensive', 'Alcoholic Beverages', 'Beer', 'Beverages']",291.0,298.0,561.0,,,,"Chongqing Brewery Co., Ltd.",2.003,8.027,8.405,8.875,0.657,1.077,1.166,1.264,2.15,2.23,2.41,2.61,3.582,10.942,13.119,14.039,1.419,0.95,1.755,2.056,-0.022,-2.805,-1.152,-0.388,3.514,9.595,11.533,12.498,1.511,1.569,3.128,3.623,CNY,,,,,,
CHINA OILFIELD SERVICES,2107.0,2344.0,1381.0,"['Energy', 'Oil and Gas', 'Oil Field Services', 'Oil and Gas Equipment and Services']",334.0,362.0,166.0,,2001.0,,China Oilfield Services Limited,39.192,37.253,35.095,37.286,2.502,2.703,0.313,2.353,0.5244,0.5665,0.0656,,31.135,28.959,29.203,35.659,54.864,58.157,50.194,53.718,-1.154,-3.343,-4.733,-3.734,76.102,75.942,73.312,77.184,36.91,38.689,38.216,39.898,CNY,,,,,,
